学生id,消费时间,其他,图书馆,开水,教务处,文印中心,校医院,校车,洗衣房,淋浴,超市,食堂
0,2013/9/1 00:17,0,0,0,0,0,0,0,0,0.6,0,0
0,2013/9/1 16:49,0,0,0,0,0,0,0,0,0,0,200
0,2013/9/1 16:57,0,0,44,0,0,0,0,0,0,0,0
0,2013/9/1 16:57,0,0,0.2,0,0,0,0,0,0,0,0
0,2013/9/2 08:38,0,0,0.09,0,0,0,0,0,0,0,0
0,2013/9/2 17:47,0,0,0,0,0,0,0,0,0,0,3
0,2013/9/2 17:49,0,0,0,0,0,0,0,0,0,0,5.6
0,2013/9/2 18:08,0,0,2,0,0,0,0,0,0,0,0
0,2013/9/2 18:23,0,0,1,0,0,0,0,0,0,0,0
0,2013/9/3 00:26,0,0,0,0,0,0,0,0,0.2,0,0
0,2013/9/3 19:57,0,0,0,0,0,0,0,0,0,10,0
0,2013/9/3 22:58,0,0,0.06,0,0,0,0,0,0,0,0
0,2013/9/4 14:15,0,0,0,0,0,0,0,0,0,14,0
0,2013/9/5 18:04,0,0,0.09,0,0,0,0,0,0,0,0
0,2013/9/5 20:48,0,0,0,0,0,0,0,0,0,9.7,0
0,2013/9/6 17:36,0,0,0,0,0,0,12.9,0,0,0,0
0,2013/9/6 18:16,0,0,0,0,0,0,0,0,0,13.6,0
0,2013/9/6 20:11,0,0,0,0,0,0,0,0,0,4.5,0
0,2013/9/7 12:16,0,0,0,0,0,0,0,0,0,0,100
0,2013/9/7 12:22,0,0,0,0,0,0,0,0,0,0,2.5
0,2013/9/7 17:33,0,0,0,0,0,0,0,0,0,0,5.6
0,2013/9/7 17:33,0,0,0,0,0,0,0,0,0,0,4.6
0,2013/9/7 17:34,0,0,1.5,0,0,0,0,0,0,0,0
0,2013/9/7 18:05,0,0,0.09,0,0,0,0,0,0,0,0
0,2013/9/7 20:20,0,0,0,0,0,0,0,0,0,8.7,0
0,2013/9/8 16:50,0,0,0,0,0,0,0,0,0,10.52,0
0,2013/9/9 20:28,0,0,0.09,0,0,0,0,0,0,0,0
0,2013/9/10 17:41,0,0,0,0,0,0,10.9,0,0,0,0
0,2013/9/10 17:45,0,0,0,0,0,0,3,0,0,0,0
0,2013/9/10 23:42,0,0,0,0,0,0,0,0,0.6,0,0
0,2013/9/12 00:08,0,0,0,0,0,0,0,0,0.2,0,0
0,2013/9/12 16:02,0,0,0.05,0,0,0,0,0,0,0,0
0,2013/9/14 12:36,0,0,0.06,0,0,0,0,0,0,0,0
0,2013/9/14 13:44,0,0,0,0,0,0,0,0,0,5.8,0
0,2013/9/14 17:17,0,0,0,0,0,0,0,0,0,0,5.6
0,2013/9/14 17:29,0,0,10.3,0,0,0,0,0,0,0,0
0,2013/9/15 01:16,0,0,0,0,0,0,0,0,0.3,0,0
0,2013/9/15 01:16,0,0,0,0,0,0,0,0,0.1,0,0
0,2013/9/15 13:51,0,0,3.5,0,0,0,0,0,0,0,0
0,2013/9/16 00:07,0,0,0,0,0,0,0,0,0.4,0,0
0,2013/9/16 08:59,0,0,0.06,0,0,0,0,0,0,0,0
0,2013/9/16 17:55,0,0,0,0,0,0,0,0,0,0,1.8
0,2013/9/16 17:55,0,0,0,0,0,0,0,0,0,0,5.6
0,2013/9/16 18:02,0,0,1.5,0,0,0,0,0,0,0,0
0,2013/9/16 18:04,0,0,0,0,0,0,0,0,0,15.5,0
0,2013/9/16 23:29,0,0,0,0,0,0,0,0,0.1,0,0
0,2013/9/17 00:19,0,0,0,0,0,0,0,0,0.4,0,0
0,2013/9/17 23:58,0,0,0,0,0,0,0,0,0.4,0,0
0,2013/9/18 11:33,0,0,0,0,0,0,0,0,0,0,100
0,2013/9/18 11:43,0,0,0,0,0,0,0,0,0,0,5.6
0,2013/9/18 11:52,0,0,0,0,0,0,0,0,0,5.7,0
0,2013/9/18 17:44,0,0,0,0,0,0,0,0,0,0,5.5
0,2013/9/18 18:23,0,0,0,0,0,0,0,0,0,14.6,0
0,2013/9/18 18:49,0,0,0.08,0,0,0,0,0,0,0,0
0,2013/9/19 01:00,0,0,0,0,0,0,0,0,0.3,0,0
0,2013/9/19 13:22,0,0,5.5,0,0,0,0,0,0,0,0
0,2013/9/20 01:29,0,0,0,0,0,0,0,0,0.2,0,0
0,2013/9/20 17:38,0,0,0,0,0,0,0,0,0,0,3
0,2013/9/20 21:15,0,0,0.06,0,0,0,0,0,0,0,0
0,2013/9/21 00:26,0,0,0,0,0,0,0,0,0.3,0,0
0,2013/9/21 14:08,0,0,7.3,0,0,0,0,0,0,0,0
0,2013/9/22 16:57,0,0,0,0,0,0,0,0,0,0,10
